names,locations,prices,ratings,images
Mahagiri Villas Sanur,"Denpasar Selatan, Denpasar",,4.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/14/9bda50c0-3dbd-443b-8aa1-062487eef05d-1605301437260-68f3ad3894c9fa2c2dc98bc542d52092.jpg
Hawaii Bali Villa,"Denpasar Selatan, Denpasar",,4.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/18/18d05ae3-544b-43a2-9cee-7fe15b32e31b-1616068500373-d9796b1b7387d796d9d1cfbee9e3e013.jpg
The Studio Bali Seminyak,"Denpasar Barat, Denpasar",IDR 163.134,3.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/2e59a1d3-7d15-4817-bb58-e53b590783c4-1603882868526-771dc82055bf23a10b1db1d112e8fa91.jpg
Hotel Puri Ayu,"Denpasar Barat, Denpasar",IDR 312.741,4.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/16/2aa89cab-0171-45c1-805e-c299308d1acb-1605494696687-61f132acaeda9c2eb950c4651a94651b.jpg
JOGLO VILLA BALI,"Denpasar Utara, Denpasar",IDR 206.020,2.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/18/3648903b-657f-4b98-9463-f7df0db19ec8-1616067957547-ff72fad52a618e3116c2449f54b6408c.jpg
L Amore Hotel Seminyak,"Denpasar Barat, Denpasar",IDR 169.575,4.2,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/97e68903-3870-465a-b29f-ab3e46b51d57-1603913797886-eb1b60ef015a96a29adc629e792eeef6.jpg
Prime Plaza Hotel Sanur - Bali,"Sanur, Denpasar",IDR 353.497,4.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/02c7d838-afac-4dc2-96e6-bb4b094b42b5-1603881702835-c17605f4a1344a7b6284ebeb4dbe70d7.jpg
Mansu Hotel and Spa Legian,"Denpasar Barat, Denpasar",IDR 125.760,4.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/3e10c139-cf4b-43da-af65-41465093454c-1604168399047-bb1a0eac0c77ca2cc22cc208410a46ca.jpg
Inna Bali Beach Garden,"Sanur, Denpasar",IDR 279.618,4.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/23/297b4176-6a09-4012-8e9c-87c0369daa6b-1606093457563-7249bce62de48bdd2f023cc7e9e4f0e7.jpg
Nirmala Hotel Denpasar,"Denpasar Barat, Denpasar",IDR 207.879,2.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/7d512d9c-3355-4a34-a087-fe8cf4c64bb7-1604172712018-0f8e93e02b938e0c7e43d79cf76be642.jpg
Puri Santrian Beach Resort & Spa,"Denpasar Selatan, Denpasar",IDR 1.112.203,4.6,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/08/24/2bc43cb0-7443-4839-850a-52937b0fa6d6-1629791123558-4febc2d7e417318c958e350246d2420c.jpg
Akila Stay Denpasar,"Denpasar Utara, Denpasar",IDR 160.000,4.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/b6da9c7e-dfff-4bb6-8a4b-bf66097f286b-1603917526714-5eb8afd14c8a2ce7070436aa38ee17d0.jpg
Santosa City Hotel,"Denpasar Barat, Denpasar",,3.4,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/5f5f72bb-0f6a-405a-bf37-dfed8d023f89-1615555057587-540399539427205cc704985cee98db6d.jpg
Batu Jimbar Residence,"Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/6f98653d-acfe-4684-8eeb-cc792c5fe2d4-1604132853195-06f87f18a126f37108f01d747b7cfc5f.jpg
Karana Villa,"Denpasar Barat, Denpasar",IDR 190.139,2.6,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/16/79e2f291-c23e-43f8-b6aa-7d6e29374a89-1605516215660-afe07cbf5631f6957c3f461dad12cfa6.jpg
VILLA TAMAN SORGA - SANUR - BALI,"Denpasar Selatan, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/18/21f11d48-3afa-472e-8d21-045c351c32aa-1605703466682-9547a616ebab1fd4fcd23ff3c6078980.jpg
Grand Asahan House,"Denpasar Selatan, Denpasar",IDR 89.958,2.6,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/ad50a85f-a973-44e8-8d39-a8dc1c898290-1615550761322-bb57c395d8df06e4748e298741d913aa.jpg
Sanur Residence,"Sanur, Denpasar",IDR 1.620.000,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/67745388-60e3-4977-8da6-78ea30ab22d1-1604151056311-2537387d1b29e4cf4afb49bd9a87508e.jpg
Grand Palace Hotel Sanur - Bali,"Denpasar Selatan, Denpasar",IDR 458.333,4.4,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/231ed7dc-0549-42e8-a7a5-1c78f37cf190-1603917446700-24f4ff91a01d809c1d65aee610da105b.jpg
Griya Tunjung Sari,"Denpasar Timur, Denpasar",,4.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/a0b6203b-cbf5-492e-b754-2488069a4a88-1604146248672-8729cad11cd118724ae1d7dabec1624d.jpg
